ActualText	ActualWords	FileName	PredWords	PredictedText	actual_word	deletions	hits	insertions	mer	miss_pred_word	substitutions	wer	wil	wip
এ ধরণের কার্ড নিয়ে	['এ', 'ধরণের', 'কার্ড', 'নিয়ে']	000039928e	['এধরনের', 'কার্ড', 'নিয়ে']	এধরনের কার্ড নিয়ে	['এ', 'ধরণের']	1.0	2.0	0.0	0.5	['এধরনের']	1.0	0.5	0.67	0.33
হতে উপার্জিত অর্থ	['হতে', 'উপার্জিত', 'অর্থ']	00005debc7	['হতে', 'উপার্জিত', 'অর্থ']	হতে উপার্জিত অর্থ	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
হাসির বিষয় হয়েই আছে	['হাসির', 'বিষয়', 'হয়েই', 'আছে']	00009e687c	['হাসির', 'বিষয়', 'হয়েই', 'আছে']	হাসির বিষয় হয়েই আছে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সার্ক দেশগুলোতে	['সার্ক', 'দেশগুলোতে']	00012843bc	['সার্ক', 'দেশগুলোতে']	সার্ক দেশগুলোতে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সহজেই যাওয়া যায়	['সহজেই', 'যাওয়া', 'যায়']	00012880b1	['সহজে', 'যাওয়া', 'দেয়']	সহজে যাওয়া দেয়	['যায়', 'সহজেই']	0.0	1.0	0.0	0.67	['সহজে', 'দেয়']	2.0	0.67	0.89	0.11
অন্তর্ভুক্তও করেছে রাশিয়া	['অন্তর্ভুক্তও', 'করেছে', 'রাশিয়া']	00014d427a	['অন্তর্ভুক্ত', 'করেছে', 'রাশিয়া']	অন্তর্ভুক্ত করেছে রাশিয়া	['অন্তর্ভুক্তও']	0.0	2.0	0.0	0.33	['অন্তর্ভুক্ত']	1.0	0.33	0.56	0.44
সুরকার হিসেবে	['সুরকার', 'হিসেবে']	0001e9f600	['সুরকার', 'হিসেবে']	সুরকার হিসেবে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
যাতে বিবাহ শাদী দিলে	['যাতে', 'বিবাহ', 'শাদী', 'দিলে']	0001ee459b	['যাতে', 'বিবাহ-শাদী', 'দিলে']	যাতে বিবাহ-শাদী দিলে	['বিবাহ', 'শাদী']	1.0	2.0	0.0	0.5	['বিবাহ-শাদী']	1.0	0.5	0.67	0.33
আপনার গল্প ছাড়া	['আপনার', 'গল্প', 'ছাড়া']	0001fd54d9	['আপনার', 'গল্প', 'ছাড়া']	আপনার গল্প ছাড়া	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
বীরভূম জেলা হাসপাতালে	['বীরভূম', 'জেলা', 'হাসপাতালে']	0002a04050	['বীরভূম', 'জেলা', 'হাসপাতালে']	বীরভূম জেলা হাসপাতালে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
মান্নান সৈয়দের মৃত্যুর পর বেরিয়েছে	['মান্নান', 'সৈয়দের', 'মৃত্যুর', 'পর', 'বেরিয়েছে']	0002c06046	['মান্নান', 'সৈয়দের', 'মৃত্যুর', 'পর', 'বেরিয়েছে']	মান্নান সৈয়দের মৃত্যুর পর বেরিয়েছে	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
পুলিশের সন্দেহ	['পুলিশের', 'সন্দেহ']	0002f5e8b7	['পুলিশের', 'সন্দেহ']	পুলিশের সন্দেহ	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
বাঙালি মধ্যবিত্তের ধর্ম	['বাঙালি', 'মধ্যবিত্তের', 'ধর্ম']	00030c9001	['বাঙালি', 'মধ্যবিত্তের', 'ধর্ম']	বাঙালি মধ্যবিত্তের ধর্ম	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
কোন অতিবৃষ্টি অরণ্যেই	['কোন', 'অতিবৃষ্টি', 'অরণ্যেই']	000339782d	['কোন', 'অতিবৃষ্টি', 'অরণ্যে']	কোন অতিবৃষ্টি অরণ্যে	['অরণ্যেই']	0.0	2.0	0.0	0.33	['অরণ্যে']	1.0	0.33	0.56	0.44
তখন তার প্রতিক্রিয়াটা	['তখন', 'তার', 'প্রতিক্রিয়াটা']	00033caf16	['তখন', 'তার', 'প্রতিক্রিয়াটা']	তখন তার প্রতিক্রিয়াটা	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
রয়েছেন মুখ্যমন্ত্রী	['রয়েছেন', 'মুখ্যমন্ত্রী']	0004bc46f7	['রয়েছেন', 'মুখ্যমন্ত্রী']	রয়েছেন মুখ্যমন্ত্রী	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
তাদের হুমকি দেয়া হয়েছিল	['তাদের', 'হুমকি', 'দেয়া', 'হয়েছিল']	000549887f	['তাদের', 'হুমকি', 'দেওয়া', 'হয়েছিল']	তাদের হুমকি দেওয়া হয়েছিল	['দেয়া']	0.0	3.0	0.0	0.25	['দেওয়া']	1.0	0.25	0.44	0.56
বিশেষ ছাড়ের ব্যবস্থা করা	['বিশেষ', 'ছাড়ের', 'ব্যবস্থা', 'করা']	000571e8eb	['বিশেষ', 'ছাড়ের', 'ব্যবস্থা', 'করা']	বিশেষ ছাড়ের ব্যবস্থা করা	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
অসাধারণ অভিনয় করেন ছবি বিশ্বাস	['অসাধারণ', 'অভিনয়', 'করেন', 'ছবি', 'বিশ্বাস']	0005c0cb27	['অসাধারণ', 'অভিনয়', 'করেন', 'ছবি', 'বিশ্বাস']	অসাধারণ অভিনয় করেন ছবি বিশ্বাস	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
দুপুরের রোদে	['দুপুরের', 'রোদে']	0005c694a1	['দুপুরের', 'রোদে']	দুপুরের রোদে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
অতঃপর ১৯৬০ সালের ২৬শে জুলাই	['অতঃপর', '১৯৬০', 'সালের', '২৬শে', 'জুলাই']	000633820e	['অতঃপর', 'হাজার', '960', 'সালের', '26', 'শে', 'জুলাই']	অতঃপর হাজার 960 সালের 26 শে জুলাই	['২৬শে', '১৯৬০']	0.0	3.0	2.0	0.57	['960', 'হাজার', '26', 'শে']	2.0	0.8	0.74	0.26
আরেকটি বড় ধরনের	['আরেকটি', 'বড়', 'ধরনের']	00067a3bf3	['আরেকটি', 'বড়', 'ধরনের']	আরেকটি বড় ধরনের	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
তখন থেকেই ডাকটিকিট সংগ্রহ	['তখন', 'থেকেই', 'ডাকটিকিট', 'সংগ্রহ']	0007ec5c58	['তখন', 'থেকেই', 'ডাকটিকিট', 'সংগ্রহ']	তখন থেকেই ডাকটিকিট সংগ্রহ	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
শক্তি চট্টোপাধ্যায়	['শক্তি', 'চট্টোপাধ্যায়']	00081f7414	['শক্তি', 'চট্টোপাধ্যায়']	শক্তি চট্টোপাধ্যায়	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
মনোনয়ন বাতিলের ক্ষমতাও	['মনোনয়ন', 'বাতিলের', 'ক্ষমতাও']	00090d52b7	['মনোনয়ন', 'বাতিলের', 'ক্ষমতা', 'ও']	মনোনয়ন বাতিলের ক্ষমতা ও	['ক্ষমতাও']	0.0	2.0	1.0	0.5	['ক্ষমতা', 'ও']	1.0	0.67	0.67	0.33
শিরোনাম আমার ছবি	['শিরোনাম', 'আমার', 'ছবি']	00090e7ccd	['শিরোনামঃ', 'আমার', 'ছবি']	শিরোনামঃ আমার ছবি	['শিরোনাম']	0.0	2.0	0.0	0.33	['শিরোনামঃ']	1.0	0.33	0.56	0.44
ঘানিটা ঘুরছে	['ঘানিটা', 'ঘুরছে']	00092bb274	['গান', 'এটা', 'ঘটছে']	গান এটা ঘটছে	['ঘুরছে', 'ঘানিটা']	0.0	0.0	1.0	1.0	['ঘটছে', 'এটা', 'গান']	2.0	1.5	1.0	0.0
বিকশিত করতে চাই	['বিকশিত', 'করতে', 'চাই']	000970168f	['বিকশিত', 'করতে', 'চাই']	বিকশিত করতে চাই	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
পুরুষের তৈরি করা	['পুরুষের', 'তৈরি', 'করা']	00098b3964	['পুরুষের', 'তৈরি', 'করা']	পুরুষের তৈরি করা	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ষড়যন্ত্র করবে	['ষড়যন্ত্র', 'করবে']	00099c95d0	['ষড়যন্ত্র', 'করবে']	ষড়যন্ত্র করবে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এই মার্কিনি বাবুর্চি	['এই', 'মার্কিনি', 'বাবুর্চি']	0009a72716	['ইমাগিনে', 'বাবুর্চি']	ইমাগিনে বাবুর্চি	['এই', 'মার্কিনি']	1.0	1.0	0.0	0.67	['ইমাগিনে']	1.0	0.67	0.83	0.17
তা নিয়ে প্রতিযোগিতার আয়োজন	['তা', 'নিয়ে', 'প্রতিযোগিতার', 'আয়োজন']	0009c2d0f9	['তা', 'নিয়ে', 'প্রতিযোগিতার', 'আয়োজন']	তা নিয়ে প্রতিযোগিতার আয়োজন	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
টেবিলের ওপর	['টেবিলের', 'ওপর']	0009d560fe	['টেবিলের', 'উপর']	টেবিলের উপর	['ওপর']	0.0	1.0	0.0	0.5	['উপর']	1.0	0.5	0.75	0.25
লকার্নো আন্তর্জাতিক চলচ্চিত্র উৎসবে	['লকার্নো', 'আন্তর্জাতিক', 'চলচ্চিত্র', 'উৎসবে']	000a4567b4	['লোকার্নো', 'আন্তর্জাতিক', 'চলচ্চিত্র', 'উৎসবে']	লোকার্নো আন্তর্জাতিক চলচ্চিত্র উৎসবে	['লকার্নো']	0.0	3.0	0.0	0.25	['লোকার্নো']	1.0	0.25	0.44	0.56
সব কিছুই ঘটে চলেছে	['সব', 'কিছুই', 'ঘটে', 'চলেছে']	000a50081a	['সব', 'কিছুই', 'ঘটে', 'চলেছে']	সব কিছুই ঘটে চলেছে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
যার যে মূল্য প্রাপ্য	['যার', 'যে', 'মূল্য', 'প্রাপ্য']	000a9438d7	['যার', 'যে', 'মূল্য', 'প্রাপ্য']	যার যে মূল্য প্রাপ্য	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
জোড়ালো করতেই ওবামা	['জোড়ালো', 'করতেই', 'ওবামা']	000ae4299c	['জোরালো', 'করতে', 'ওবামা']	জোরালো করতে ওবামা	['করতেই', 'জোড়ালো']	0.0	1.0	0.0	0.67	['করতে', 'জোরালো']	2.0	0.67	0.89	0.11
শুল্ক বিভাগের কর্মকর্তারা	['শুল্ক', 'বিভাগের', 'কর্মকর্তারা']	000af00d30	['শুল্ক', 'বিভাগের', 'কর্মকর্তারা']	শুল্ক বিভাগের কর্মকর্তারা	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
নাচতে হয়	['নাচতে', 'হয়']	000c03fe83	['নাচতে', 'হয়']	নাচতে হয়	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
বিবাহ করিলেন	['বিবাহ', 'করিলেন']	000c053da3	['বিবাহ', 'করিলেন']	বিবাহ করিলেন	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
কিন্তু কৃষ্ণ রথের উপর	['কিন্তু', 'কৃষ্ণ', 'রথের', 'উপর']	000c77a792	['কিন্তু', 'কৃষ্ণের', 'রথের', 'উপর']	কিন্তু কৃষ্ণের রথের উপর	['কৃষ্ণ']	0.0	3.0	0.0	0.25	['কৃষ্ণের']	1.0	0.25	0.44	0.56
