FileName	PredictedText
ban_02194_00389735002	জয়দেবপুর টাঙ্গাইল জামালপুর মহাসড়ক এর সাথে চলতে থাকুন
ban_00737_01942988094	সানফ্রান্সিসকো যাত্রা
ban_02194_01217711969	লন্ডন যুক্তরাজ্যের রাজধানী
ban_01232_00090820891	অগ্রণী ইন্স্যুরেন্স বাংলাদেশের একটি স্বনামধন্য প্রতিষ্ঠান
ban_01701_01785111707	বানগুই কেন্দ্রীয় আফ্রিকান প্রজাতন্ত্রের রাজধানী
ban_03042_01010539191	এক্ষেত্রে নোটে যা প্রয়োজন সে সম্পর্কে বলুন
ban_03042_00163928688	কোন ঠিকানা
ban_03042_01488829109	স্টেট ওয়েল নরওয়ের একটি বহুজাতিক তেল ও গ্যাস কোম্পানি
ban_01232_01633259801	মুহম্মদ জাফর ইকবাল
ban_01701_01702196760	ঢাকা-ময়মনসিংহ মহাসড়কের সাথে চলতে থাকুন
ban_01232_00780790949	এখন নওগাঁর তাপমাত্রা 34 ডিগ্রি সেলসিয়াস
ban_03042_00968719085	অরিয়ন ফার্মা জীবন ও স্বাস্থ্যের কথা চিন্তা করে
ban_01232_01795843665	বাংলাদেশ বিমান 363 আগস্টের 3 তারিখে দুপুর তিনটায় পৌঁছাবে
ban_01232_00516146843	মালা কেমিক্যাল অ্যান্ড ফার্মাসিউটিক্যাল ইন্ডাস্ট্রি পরবর্তীতে ওরিয়ন ইনফিউশন নাম ধারণ করে
ban_02194_00710694804	আমি এখনো সেটি বুঝতে পারিনি আপনি একটি সময় বলতে পারেন উদাহরণস্বরূপ সন্ধ্যা ছয়টা
ban_00737_00097023966	গত বাংলাদেশ বিমান 363 বিলম্বিত এটি আগামীকাল দুপুর 3 টায় এসে পৌঁছাবে
ban_00737_00987151643	হাজার 957 সালে মুহাম্মদ ইউনুস ঢাকা বিশ্ববিদ্যালয়ের অর্থনীতি বিভাগের সম্মান শ্রেণীতে ভর্তি হন এবং সেখান থেকেই বিয়ে এবং এমএ সম্পন্ন করেন
ban_01701_01143043582	আর্জেন্টিনা গ্রুপে তে পঞ্চম অবস্থানে আছে
ban_00737_01812813463	এমসিএল বাংলাদেশের পূর্ব নাম মবিল যমুনা লুব্রিক্যান্ট
ban_03042_01975969038	নিউইয়র্ক এর তাপমাত্রা আজ সর্বোচ্চ 34 ডিগ্রি সেলসিয়াস হতে পারে
ban_03042_00890467258	এই হল আপনার অনুবাদ
ban_00737_00035050432	পিপলস ইন্সুরেন্স অফ চায়না 66 বছর আগে ব্যবসা চালু করে
ban_03042_00548927720	কিছু বিড়ালের ছবি এই নিন
ban_01701_00236549766	বাংলাদেশের জনপ্রিয় আকর্ষণ গুলোর ভিতরে আছে
ban_01232_02121676610	লিজিং এবং ফাইন্যান্সিং কোম্পানি হিসেবে বাংলাদেশ ইন্ডাস্ট্রিয়াল ফিনান্স কম্পানি দেশীয় স্থানীয় স্পন্সরদের গ্রুপ দ্বারা পরিচালিত একটি যৌথ উদ্যোগ
ban_00737_00613544929	শেখ হাসিনা সম্পর্কে কিছু তথ্য এখানে দেয়া হলো
ban_00737_02083223083	পিটিটিআই রাষ্ট্রীয় মালিকানাধীন সেট তালিকাভুক্ত তেল ও গ্যাস কোম্পানি
ban_02194_00672096273	নড়াইল
ban_00737_00225944980	আপনার কিউবি বেল একশত 23.45 মার্কিন ডলার 12 ই মে সোমবার গ্রহণ করা হয়েছে
ban_02194_01499873486	ভোডাফোন গ্রুপ বিশ্বের বহু দেশে মোবাইল ব্যবসা করে
ban_03042_00153271981	জুট স্পিনার্স একটি পাবলিক কোম্পানি হিসেবে পাটের সুতা ও দড়ি উৎপাদনের সঙ্গে সংশ্লিষ্ট
ban_00737_01031622631	আকিজের মার্কেট ক্যাপ এখানে নেই
ban_00737_00023461747	সাভার মানিকগঞ্জ মহাসড়ক এর সাথে চলতে থাকুন
ban_00737_00842623839	সালনা জয়দেবপুর সড়ক থাকতে ডান দিকে এগিয়ে যান
ban_03042_01217073894	আপনার কমকাস্ট এর বিল 100 23.45 মার্কিন ডলার 12 ই মে সোমবার শোধ করা হয়েছে
ban_00737_00028634754	লাফার্জ সুরমা সিমেন্ট সর্বাধিক ব্যবহৃত সিমেন্ট উৎপাদন করে
ban_01232_00203662856	রাত্রি 10 টা পর্যন্ত খোলা থাকবে
ban_02194_02098211583	বাইকিং শেষ
ban_00737_01279637793	হাজার 900 মে হোটেল হিলটনে আপনার রিজার্ভেশন শেষ হবে
ban_02194_00241695119	গ্রীন ডেল্টা ইন্স্যুরেন্স কোম্পানির পরিচালকগণ বোর্ডে অন্তর্ভুক্ত করেছে বিমান ক্ষেত্রের ভেটেরান্স বাণিজ্যিক ও শিল্প ডাক্তার চার্টার্ড একাউন্টেন্ট বাণিজ্যিক পেশাদার
ban_03042_01002599496	ইসলামী ব্যাংক প্রায় তিন শতাধিক শাখা নিয়ে বিশাল ব্যাংকিং নেটওয়ার্ক গড়ে তুলেছে
ban_00737_00245150337	বাংলাদেশ বিমান ফ্লাইট চৌদ্দশত 72 এর জন্য আপনার কনফার্মেশন নাম্বার এনেছি সিটি
ban_00737_00067848978	আপনার বাড়ি এবং আপনার কাজের জায়গার মধ্যে ট্রাফিক দেখানো হচ্ছে
